"Table 8. Life table for black males: United States, 2017",,,,,,
"Age (years)","Probability of dying between ages x and x + 1","Number surviving to age x","Number dying between ages x and x + 1","Person-years lived between ages x and x + 1","Total number of person-years lived above age x","Expectation of life at age x"
,qx,lx,dx,Lx,Tx,ex
0–1,0.011882242746651173,100000,1188.2242431640625,98973.375,7194460,71.9446029663086
1–2,0.0006217766203917563,98811.7734375,61.43885040283203,98781.0546875,7095487,71.80811309814453
2–3,0.0004057931946590543,98750.3359375,40.07221603393555,98730.296875,6996705.5,70.85247039794922
3–4,0.00034671660978347063,98710.265625,34.2244873046875,98693.15625,6897975.5,69.88103485107422
4–5,0.0002313034055987373,98676.0390625,22.82410430908203,98664.625,6799282.5,68.90509796142578
5–6,0.00023056069039739668,98653.21875,22.745553970336914,98641.84375,6700617.5,67.9209213256836
6–7,0.00021074051619507372,98630.4765625,20.785436630249023,98620.078125,6601976,66.93647003173828
7–8,0.0001924129028338939,98609.6875,18.97377586364746,98600.203125,6503355.5,65.95046997070313
8–9,0.00016881118062883615,98590.7109375,16.64321517944336,98582.390625,6404755.5,64.96307373046875
9–10,0.00014234847913030535,98574.0703125,14.031868934631348,98567.0546875,6306173,63.97395324707031
10–11,0.00012547924416139722,98560.0390625,12.367238998413086,98553.859375,6207606,62.98299026489258
11–12,0.00013976491754874587,98547.671875,13.773507118225098,98540.78125,6109052,61.99082946777344
12–13,0.0002106999745592475,98533.8984375,20.761089324951172,98523.515625,6010511.5,60.999427795410156
13–14,0.00035233324160799384,98513.140625,34.70945358276367,98495.78125,5911988,60.012176513671875
14–15,0.0005462794215418398,98478.4296875,53.7967414855957,98451.53125,5813492,59.03314971923828
15–16,0.0007574809715151787,98424.6328125,74.5547866821289,98387.359375,5715040.5,58.06514358520508
16–17,0.0009647857514210045,98350.078125,94.88675689697266,98302.6328125,5616653.5,57.10878372192383
17–18,0.0011720506008714437,98255.1875,115.16004943847656,98197.609375,5518350.5,56.1634521484375
18–19,0.0013695904053747654,98140.03125,134.41165161132813,98072.828125,5420153,55.22876739501953
19–20,0.0015541096217930317,98005.6171875,152.3114776611328,97929.4609375,5322080,54.30382537841797
20–21,0.0017361481441184878,97853.3046875,169.88783264160156,97768.359375,5224150.5,53.3875732421875
21–22,0.0019091012654826045,97683.4140625,186.48753356933594,97590.171875,5126382.5,52.47956085205078
22–23,0.002050999319180846,97496.9296875,199.9661407470703,97396.9453125,5028792,51.5789794921875
23–24,0.0021535749547183514,97296.9609375,209.5363006591797,97192.1875,4931395.5,50.683963775634766
24–25,0.002225399948656559,97087.421875,216.058349609375,96979.390625,4834203,49.792266845703125
25–26,0.002286646980792284,96871.3671875,221.5106201171875,96760.609375,4737223.5,48.90220642089844
26–27,0.0023457694333046675,96649.859375,226.71829223632813,96536.5,4640463,48.01313781738281
27–28,0.002396724885329604,96423.140625,231.09974670410156,96307.59375,4543926.5,47.124855041503906
28–29,0.0024443778675049543,96192.0390625,235.1296844482422,96074.46875,4447619,46.236873626708984
29–30,0.0024939039722085,95956.90625,239.30731201171875,95837.25,4351544.5,45.34894561767578
30–31,0.002542504807934165,95717.6015625,243.36245727539063,95595.921875,4255707.5,44.46107482910156
31–32,0.002597660757601261,95474.2421875,248.0096893310547,95350.234375,4160111.25,43.57312774658203
32–33,0.0026748853269964457,95226.234375,254.71925354003906,95098.875,4064761,42.685306549072266
33–34,0.00277858623303473,94971.515625,263.88653564453125,94839.578125,3969662.25,41.7984504699707
34–35,0.0028986288234591484,94707.6328125,274.52227783203125,94570.375,3874822.75,40.91352081298828
35–36,0.0030344880651682615,94433.109375,286.55615234375,94289.828125,3780252.25,40.031005859375
36–37,0.0031717615202069283,94146.5546875,298.61041259765625,93997.25,3685962.5,39.15132522583008
37–38,0.0032921847887337208,93847.9453125,308.96478271484375,93693.46875,3591965.25,38.27430725097656
38–39,0.0033906300086528063,93538.984375,317.1560974121094,93380.40625,3498271.75,37.399078369140625
39–40,0.003483035136014223,93221.828125,324.6949157714844,93059.484375,3404891.25,36.52461242675781
40–41,0.0035933328326791525,92897.1328125,333.810302734375,92730.2265625,3311831.75,35.65052795410156
41–42,0.003742310218513012,92563.3203125,346.4006652832031,92390.125,3219101.5,34.77729034423828
42–43,0.0039323740638792515,92216.921875,362.6314392089844,92035.609375,3126711.5,33.90604782104492
43–44,0.004165434278547764,91854.2890625,382.6130065917969,91662.984375,3034676,33.037933349609375
44–45,0.004434053786098957,91471.6796875,405.5903625488281,91268.8828125,2943013,32.174034118652344
45–46,0.00473050819709897,91066.0859375,430.78887939453125,90850.6875,2851744,31.315105438232422
46–47,0.005060845986008644,90635.296875,458.6912841796875,90405.953125,2760893.25,30.46156883239746
47–48,0.005437587387859821,90176.609375,490.34320068359375,89931.4375,2670487.25,29.613967895507813
48–49,0.005873961374163628,89686.265625,526.8136596679688,89422.859375,2580556,28.77314567565918
49–50,0.006376233417540789,89159.453125,568.50146484375,88875.203125,2491133,27.940200805664063
50–51,0.0069045922718942165,88590.953125,611.6843872070313,88285.109375,2402257.75,27.116287231445313
51–52,0.0074848695658147335,87979.265625,658.5133056640625,87650.0078125,2313972.75,26.301342010498047
52–53,0.008192196488380432,87320.75,715.3487548828125,86963.078125,2226322.75,25.49591827392578
53–54,0.00905000139027834,86605.3984375,783.7789916992188,86213.5078125,2139359.75,24.702383041381836
54–55,0.010020229034125805,85821.6171875,859.9522705078125,85391.640625,2053146.125,23.92341423034668
55–56,0.01102579478174448,84961.6640625,936.7698974609375,84493.28125,1967754.5,23.160497665405273
56–57,0.012041490525007248,84024.890625,1011.784912109375,83519,1883261.25,22.413135528564453
57–58,0.013122141361236572,83013.109375,1089.309814453125,82468.453125,1799742.25,21.680217742919922
58–59,0.014298422262072563,81923.796875,1171.3809814453125,81338.109375,1717273.75,20.961843490600586
59–60,0.015581365674734116,80752.4140625,1258.23291015625,80123.296875,1635935.625,20.25865936279297
60–61,0.016979267820715904,79494.1796875,1349.7529296875,78819.3046875,1555812.375,19.571399688720703
61–62,0.01844324730336666,78144.4296875,1441.237060546875,77423.8125,1476993.125,18.90081214904785
62–63,0.019919708371162415,76703.1953125,1527.9052734375,75939.2421875,1399569.25,18.246557235717773
63–64,0.02135440893471241,75175.2890625,1605.3238525390625,74372.625,1323630,17.607248306274414
64–65,0.022760381922125816,73569.96875,1674.4805908203125,72732.7265625,1249257.375,16.980533599853516
65–66,0.02427864260971546,71895.484375,1745.5247802734375,71022.71875,1176524.625,16.3643741607666
66–67,0.02593092806637287,70149.9609375,1819.0535888671875,69240.4375,1105502,15.759124755859375
67–68,0.02755059488117695,68330.90625,1882.55712890625,67389.625,1036261.5,15.1653413772583
68–69,0.029041366651654243,66448.3515625,1929.7509765625,65483.4765625,968871.875,14.580826759338379
69–70,0.030500616878271103,64518.6015625,1967.857177734375,63534.671875,903388.4375,14.001984596252441
70–71,0.031843457370996475,62550.74609375,1991.83203125,61554.828125,839853.75,13.426758766174316
71–72,0.03414159268140793,60558.9140625,2067.577880859375,59525.125,778298.9375,12.851930618286133
72–73,0.03611306846141815,58491.3359375,2112.301513671875,57435.1875,718773.8125,12.288552284240723
73–74,0.03904320299625397,56379.03515625,2201.218017578125,55278.42578125,661338.625,11.730222702026367
74–75,0.04187317192554474,54177.81640625,2268.596923828125,53043.515625,606060.1875,11.186500549316406
75–76,0.04490678757429123,51909.21875,2331.076171875,50743.6796875,553016.6875,10.653534889221191
76–77,0.04877166450023651,49578.140625,2418.008544921875,48369.13671875,502273,10.130936622619629
77–78,0.05215773731470108,47160.1328125,2459.765869140625,45930.25,453903.84375,9.624736785888672
78–79,0.057217616587877274,44700.3671875,2557.6484375,43421.54296875,407973.59375,9.126851081848145
79–80,0.06203828379511833,42142.71875,2614.4619140625,40835.48828125,364552.0625,8.650416374206543
80–81,0.06665408611297607,39528.2578125,2634.719970703125,38210.8984375,323716.5625,8.189496994018555
81–82,0.07211274653673172,36893.5390625,2660.494384765625,35563.2890625,285505.65625,7.738635540008545
82–83,0.07969126105308533,34233.04296875,2728.074462890625,32869.0078125,249942.375,7.301202297210693
83–84,0.08760543912649155,31504.96875,2760.006591796875,30124.96484375,217073.375,6.89013147354126
84–85,0.09402991086244583,28744.962890625,2702.88623046875,27393.51953125,186948.40625,6.503692626953125
85–86,0.1009056344628334,26042.076171875,2627.792236328125,24728.1796875,159554.890625,6.126811504364014
86–87,0.1102265939116478,23414.283203125,2580.876708984375,22123.84375,134826.703125,5.758310317993164
87–88,0.12022559344768524,20833.40625,2504.708740234375,19581.05078125,112702.8671875,5.4097185134887695
88–89,0.1309182196855545,18328.697265625,2399.560302734375,17128.91796875,93121.8125,5.0806565284729
89–90,0.14231416583061218,15929.13671875,2266.94189453125,14795.666015625,75992.8984375,4.770685195922852
90–91,0.15441617369651794,13662.1953125,2109.663818359375,12607.36328125,61197.23046875,4.479311466217041
91–92,0.1672191023826599,11552.53125,1931.803955078125,10586.62890625,48589.8671875,4.205993175506592
92–93,0.1807090789079666,9620.7275390625,1738.5528564453125,8751.451171875,38003.23828125,3.9501419067382813
93–94,0.1948627233505249,7882.1748046875,1535.9420166015625,7114.2041015625,29251.7890625,3.7111318111419678
94–95,0.20964668691158295,6346.23291015625,1330.4666748046875,5680.99951171875,22137.583984375,3.4883031845092773
95–96,0.22501733899116516,5015.76611328125,1128.6343994140625,4451.44921875,16456.583984375,3.280971050262451
96–97,0.24092085659503937,3887.1318359375,936.4911499023438,3418.88623046875,12005.1357421875,3.088430404663086
97–98,0.25729355216026306,2950.640625,759.1807861328125,2571.05029296875,8586.2490234375,2.909960985183716
98–99,0.2740626931190491,2191.4599609375,600.597412109375,1891.1612548828125,6015.19873046875,2.7448363304138184
99–100,0.2911474406719208,1590.862548828125,463.1755676269531,1359.2747802734375,4124.03759765625,2.5923280715942383
"100 and over",1,1127.68701171875,1127.68701171875,2764.7626953125,2764.7626953125,2.4517109394073486
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,
